resume_text,experience_years,role,skills,education,selected
"DevOps Engineer with 6 years experience. Skilled in Python, Git, Machine Learning, C++. Education: MCA.",6,DevOps Engineer,"Python, Git, Machine Learning, C++",MCA,1
"Machine Learning Engineer with 2 years experience. Skilled in SQL, JavaScript, Deep Learning, Docker. Education: B.Tech.",2,Machine Learning Engineer,"SQL, JavaScript, Deep Learning, Docker",B.Tech,1
"Web Developer with 4 years experience. Skilled in Flask, JavaScript, Java, CSS, Python, Deep Learning, Git. Education: B.Sc Computer Science.",4,Web Developer,"Flask, JavaScript, Java, CSS, Python, Deep Learning, Git",B.Sc Computer Science,1
"DevOps Engineer with 6 years experience. Skilled in Data Analysis, SQL, React, Flask, Python. Education: M.Tech.",6,DevOps Engineer,"Data Analysis, SQL, React, Flask, Python",M.Tech,1
"Machine Learning Engineer with 6 years experience. Skilled in AWS, Kubernetes, TensorFlow, NumPy, Django. Education: B.Sc Computer Science.",6,Machine Learning Engineer,"AWS, Kubernetes, TensorFlow, NumPy, Django",B.Sc Computer Science,0
"Web Developer with 4 years experience. Skilled in Machine Learning, AWS, React, Kubernetes, Java, Git, HTML. Education: MCA.",4,Web Developer,"Machine Learning, AWS, React, Kubernetes, Java, Git, HTML",MCA,0
"Data Scientist with 2 years experience. Skilled in Flask, PyTorch, CSS, Python, React, Pandas. Education: B.Sc Computer Science.",2,Data Scientist,"Flask, PyTorch, CSS, Python, React, Pandas",B.Sc Computer Science,1
"DevOps Engineer with 7 years experience. Skilled in Django, Kubernetes, Node.js, AWS, Deep Learning, Java, Flask, C++. Education: B.Tech.",7,DevOps Engineer,"Django, Kubernetes, Node.js, AWS, Deep Learning, Java, Flask, C++",B.Tech,0
"DevOps Engineer with 7 years experience. Skilled in NumPy, AWS, TensorFlow, SQL, C++, HTML, Git. Education: MCA.",7,DevOps Engineer,"NumPy, AWS, TensorFlow, SQL, C++, HTML, Git",MCA,0
"Backend Developer with 5 years experience. Skilled in NumPy, Flask, AWS, Kubernetes, Java. Education: BCA.",5,Backend Developer,"NumPy, Flask, AWS, Kubernetes, Java",BCA,0
"Machine Learning Engineer with 7 years experience. Skilled in Data Analysis, Git, NumPy, Node.js, Flask. Education: B.Sc Computer Science.",7,Machine Learning Engineer,"Data Analysis, Git, NumPy, Node.js, Flask",B.Sc Computer Science,0
"Backend Developer with 3 years experience. Skilled in Java, CSS, TensorFlow, React, SQL, Docker, HTML, Git. Education: B.Tech.",3,Backend Developer,"Java, CSS, TensorFlow, React, SQL, Docker, HTML, Git",B.Tech,0
"Web Developer with 2 years experience. Skilled in HTML, Data Analysis, Python, Machine Learning. Education: MCA.",2,Web Developer,"HTML, Data Analysis, Python, Machine Learning",MCA,1
"Data Scientist with 6 years experience. Skilled in Django, React, JavaScript, NumPy, PyTorch, Deep Learning. Education: M.Tech.",6,Data Scientist,"Django, React, JavaScript, NumPy, PyTorch, Deep Learning",M.Tech,1
"Machine Learning Engineer with 6 years experience. Skilled in NumPy, Pandas, Docker, Deep Learning, Machine Learning, React. Education: B.Sc Computer Science.",6,Machine Learning Engineer,"NumPy, Pandas, Docker, Deep Learning, Machine Learning, React",B.Sc Computer Science,0
"Web Developer with 0 years experience. Skilled in NumPy, TensorFlow, React, Data Analysis, Pandas. Education: B.Tech.",0,Web Developer,"NumPy, TensorFlow, React, Data Analysis, Pandas",B.Tech,0
"Frontend Developer with 3 years experience. Skilled in JavaScript, AWS, Django, Machine Learning. Education: M.Tech.",3,Frontend Developer,"JavaScript, AWS, Django, Machine Learning",M.Tech,1
"Backend Developer with 7 years experience. Skilled in Java, PyTorch, Machine Learning, JavaScript, Kubernetes, AWS. Education: BCA.",7,Backend Developer,"Java, PyTorch, Machine Learning, JavaScript, Kubernetes, AWS",BCA,1
"Frontend Developer with 0 years experience. Skilled in Node.js, Kubernetes, Java, JavaScript. Education: M.Tech.",0,Frontend Developer,"Node.js, Kubernetes, Java, JavaScript",M.Tech,0
"Frontend Developer with 6 years experience. Skilled in Python, JavaScript, NumPy, Node.js, HTML. Education: MCA.",6,Frontend Developer,"Python, JavaScript, NumPy, Node.js, HTML",MCA,1
"Machine Learning Engineer with 6 years experience. Skilled in HTML, Git, C++, Django, NumPy, CSS, JavaScript. Education: BCA.",6,Machine Learning Engineer,"HTML, Git, C++, Django, NumPy, CSS, JavaScript",BCA,1
"Frontend Developer with 0 years experience. Skilled in Java, Deep Learning, TensorFlow, Python, Django, Kubernetes. Education: BCA.",0,Frontend Developer,"Java, Deep Learning, TensorFlow, Python, Django, Kubernetes",BCA,0
"Backend Developer with 1 years experience. Skilled in Docker, Machine Learning, SQL, HTML, PyTorch, Deep Learning. Education: B.Sc Computer Science.",1,Backend Developer,"Docker, Machine Learning, SQL, HTML, PyTorch, Deep Learning",B.Sc Computer Science,0
"Web Developer with 1 years experience. Skilled in Java, SQL, Node.js, HTML, Kubernetes. Education: BCA.",1,Web Developer,"Java, SQL, Node.js, HTML, Kubernetes",BCA,0
"DevOps Engineer with 2 years experience. Skilled in Java, C++, Flask, Python, Node.js, Django, Deep Learning, PyTorch. Education: MCA.",2,DevOps Engineer,"Java, C++, Flask, Python, Node.js, Django, Deep Learning, PyTorch",MCA,1
"Data Scientist with 1 years experience. Skilled in Python, Docker, Django, PyTorch. Education: BCA.",1,Data Scientist,"Python, Docker, Django, PyTorch",BCA,1
"DevOps Engineer with 0 years experience. Skilled in Data Analysis, Deep Learning, TensorFlow, Git, Python, NumPy, Node.js. Education: M.Tech.",0,DevOps Engineer,"Data Analysis, Deep Learning, TensorFlow, Git, Python, NumPy, Node.js",M.Tech,0
"Backend Developer with 5 years experience. Skilled in React, Python, SQL, Django, Deep Learning. Education: B.Tech.",5,Backend Developer,"React, Python, SQL, Django, Deep Learning",B.Tech,1
"Machine Learning Engineer with 3 years experience. Skilled in Python, SQL, CSS, Data Analysis, C++. Education: B.Tech.",3,Machine Learning Engineer,"Python, SQL, CSS, Data Analysis, C++",B.Tech,1
"Frontend Developer with 6 years experience. Skilled in Kubernetes, Data Analysis, NumPy, Python, PyTorch. Education: M.Tech.",6,Frontend Developer,"Kubernetes, Data Analysis, NumPy, Python, PyTorch",M.Tech,1
"Backend Developer with 0 years experience. Skilled in TensorFlow, Python, CSS, JavaScript. Education: M.Tech.",0,Backend Developer,"TensorFlow, Python, CSS, JavaScript",M.Tech,0
"Frontend Developer with 1 years experience. Skilled in Flask, TensorFlow, Git, Machine Learning. Education: B.Tech.",1,Frontend Developer,"Flask, TensorFlow, Git, Machine Learning",B.Tech,0
"Web Developer with 3 years experience. Skilled in AWS, Pandas, Data Analysis, Python, Django, Docker, NumPy, Node.js. Education: B.Sc Computer Science.",3,Web Developer,"AWS, Pandas, Data Analysis, Python, Django, Docker, NumPy, Node.js",B.Sc Computer Science,1
"Machine Learning Engineer with 3 years experience. Skilled in Node.js, NumPy, JavaScript, Docker, Data Analysis, Deep Learning, CSS. Education: B.Tech.",3,Machine Learning Engineer,"Node.js, NumPy, JavaScript, Docker, Data Analysis, Deep Learning, CSS",B.Tech,1
"Machine Learning Engineer with 7 years experience. Skilled in Flask, Node.js, C++, Docker, Pandas, PyTorch. Education: B.Tech.",7,Machine Learning Engineer,"Flask, Node.js, C++, Docker, Pandas, PyTorch",B.Tech,0
"Backend Developer with 7 years experience. Skilled in HTML, Django, C++, Python. Education: BCA.",7,Backend Developer,"HTML, Django, C++, Python",BCA,1
"Machine Learning Engineer with 7 years experience. Skilled in JavaScript, NumPy, C++, Node.js, Docker, HTML. Education: MCA.",7,Machine Learning Engineer,"JavaScript, NumPy, C++, Node.js, Docker, HTML",MCA,1
"Machine Learning Engineer with 3 years experience. Skilled in Docker, Django, C++, NumPy. Education: M.Tech.",3,Machine Learning Engineer,"Docker, Django, C++, NumPy",M.Tech,0
"Web Developer with 0 years experience. Skilled in JavaScript, Python, Kubernetes, Django. Education: B.Sc Computer Science.",0,Web Developer,"JavaScript, Python, Kubernetes, Django",B.Sc Computer Science,0
"Machine Learning Engineer with 0 years experience. Skilled in Git, Pandas, Docker, Python, Node.js, React, NumPy. Education: B.Tech.",0,Machine Learning Engineer,"Git, Pandas, Docker, Python, Node.js, React, NumPy",B.Tech,0
"Backend Developer with 0 years experience. Skilled in PyTorch, Flask, HTML, Docker, Java, TensorFlow, SQL, Machine Learning. Education: MCA.",0,Backend Developer,"PyTorch, Flask, HTML, Docker, Java, TensorFlow, SQL, Machine Learning",MCA,0
"Frontend Developer with 6 years experience. Skilled in Data Analysis, JavaScript, React, Flask, Kubernetes. Education: M.Tech.",6,Frontend Developer,"Data Analysis, JavaScript, React, Flask, Kubernetes",M.Tech,1
"Backend Developer with 6 years experience. Skilled in Data Analysis, JavaScript, SQL, HTML, NumPy, Django. Education: M.Tech.",6,Backend Developer,"Data Analysis, JavaScript, SQL, HTML, NumPy, Django",M.Tech,1
"Web Developer with 1 years experience. Skilled in Deep Learning, Django, AWS, Data Analysis, Kubernetes, Flask, PyTorch, SQL. Education: B.Tech.",1,Web Developer,"Deep Learning, Django, AWS, Data Analysis, Kubernetes, Flask, PyTorch, SQL",B.Tech,0
"Web Developer with 7 years experience. Skilled in Flask, Git, Docker, Pandas, Java. Education: BCA.",7,Web Developer,"Flask, Git, Docker, Pandas, Java",BCA,0
"Web Developer with 7 years experience. Skilled in CSS, Machine Learning, NumPy, Docker, Deep Learning. Education: B.Tech.",7,Web Developer,"CSS, Machine Learning, NumPy, Docker, Deep Learning",B.Tech,0
"DevOps Engineer with 3 years experience. Skilled in TensorFlow, Kubernetes, AWS, Data Analysis. Education: B.Tech.",3,DevOps Engineer,"TensorFlow, Kubernetes, AWS, Data Analysis",B.Tech,0
"Web Developer with 6 years experience. Skilled in Docker, Machine Learning, Deep Learning, Kubernetes, Pandas. Education: B.Tech.",6,Web Developer,"Docker, Machine Learning, Deep Learning, Kubernetes, Pandas",B.Tech,0
"Backend Developer with 3 years experience. Skilled in Git, Machine Learning, HTML, Data Analysis, Deep Learning, JavaScript. Education: B.Sc Computer Science.",3,Backend Developer,"Git, Machine Learning, HTML, Data Analysis, Deep Learning, JavaScript",B.Sc Computer Science,1
"Backend Developer with 0 years experience. Skilled in Data Analysis, Machine Learning, AWS, Deep Learning, C++, Kubernetes. Education: MCA.",0,Backend Developer,"Data Analysis, Machine Learning, AWS, Deep Learning, C++, Kubernetes",MCA,0
"Backend Developer with 7 years experience. Skilled in Data Analysis, SQL, Deep Learning, Node.js, CSS. Education: B.Tech.",7,Backend Developer,"Data Analysis, SQL, Deep Learning, Node.js, CSS",B.Tech,0
"Web Developer with 3 years experience. Skilled in Node.js, SQL, Docker, CSS. Education: M.Tech.",3,Web Developer,"Node.js, SQL, Docker, CSS",M.Tech,0
"Web Developer with 7 years experience. Skilled in Kubernetes, AWS, Machine Learning, Git, C++. Education: BCA.",7,Web Developer,"Kubernetes, AWS, Machine Learning, Git, C++",BCA,0
"Backend Developer with 2 years experience. Skilled in CSS, AWS, Django, HTML. Education: M.Tech.",2,Backend Developer,"CSS, AWS, Django, HTML",M.Tech,0
"Machine Learning Engineer with 5 years experience. Skilled in Git, SQL, Django, C++, Pandas. Education: B.Tech.",5,Machine Learning Engineer,"Git, SQL, Django, C++, Pandas",B.Tech,0
"Machine Learning Engineer with 6 years experience. Skilled in TensorFlow, PyTorch, Django, SQL, Docker, JavaScript. Education: B.Tech.",6,Machine Learning Engineer,"TensorFlow, PyTorch, Django, SQL, Docker, JavaScript",B.Tech,1
"Web Developer with 3 years experience. Skilled in Node.js, Django, Kubernetes, SQL, Flask, Deep Learning, JavaScript. Education: B.Sc Computer Science.",3,Web Developer,"Node.js, Django, Kubernetes, SQL, Flask, Deep Learning, JavaScript",B.Sc Computer Science,1
"Backend Developer with 7 years experience. Skilled in Node.js, Git, React, Django, AWS, TensorFlow. Education: MCA.",7,Backend Developer,"Node.js, Git, React, Django, AWS, TensorFlow",MCA,0
"Frontend Developer with 1 years experience. Skilled in Flask, C++, Docker, NumPy. Education: B.Sc Computer Science.",1,Frontend Developer,"Flask, C++, Docker, NumPy",B.Sc Computer Science,0
"Machine Learning Engineer with 6 years experience. Skilled in Kubernetes, AWS, Git, Flask, Java. Education: MCA.",6,Machine Learning Engineer,"Kubernetes, AWS, Git, Flask, Java",MCA,0
"Web Developer with 1 years experience. Skilled in CSS, Git, Data Analysis, React. Education: B.Tech.",1,Web Developer,"CSS, Git, Data Analysis, React",B.Tech,0
"DevOps Engineer with 4 years experience. Skilled in Java, Pandas, CSS, SQL, C++, NumPy, HTML. Education: B.Tech.",4,DevOps Engineer,"Java, Pandas, CSS, SQL, C++, NumPy, HTML",B.Tech,0
"Web Developer with 5 years experience. Skilled in NumPy, Django, Pandas, Kubernetes, PyTorch, C++. Education: B.Tech.",5,Web Developer,"NumPy, Django, Pandas, Kubernetes, PyTorch, C++",B.Tech,0
"Data Scientist with 2 years experience. Skilled in PyTorch, Java, Django, Flask, TensorFlow, SQL, React, Data Analysis. Education: MCA.",2,Data Scientist,"PyTorch, Java, Django, Flask, TensorFlow, SQL, React, Data Analysis",MCA,0
"DevOps Engineer with 6 years experience. Skilled in React, PyTorch, AWS, SQL, Kubernetes, TensorFlow. Education: M.Tech.",6,DevOps Engineer,"React, PyTorch, AWS, SQL, Kubernetes, TensorFlow",M.Tech,0
"Web Developer with 3 years experience. Skilled in Pandas, JavaScript, HTML, Flask. Education: MCA.",3,Web Developer,"Pandas, JavaScript, HTML, Flask",MCA,1
"Web Developer with 2 years experience. Skilled in Java, PyTorch, Flask, Python, Docker, SQL, JavaScript. Education: M.Tech.",2,Web Developer,"Java, PyTorch, Flask, Python, Docker, SQL, JavaScript",M.Tech,1
"Backend Developer with 6 years experience. Skilled in Python, Data Analysis, Node.js, Docker, C++. Education: B.Tech.",6,Backend Developer,"Python, Data Analysis, Node.js, Docker, C++",B.Tech,1
"Data Scientist with 6 years experience. Skilled in AWS, JavaScript, C++, NumPy, Flask, PyTorch. Education: B.Tech.",6,Data Scientist,"AWS, JavaScript, C++, NumPy, Flask, PyTorch",B.Tech,1
"Machine Learning Engineer with 6 years experience. Skilled in TensorFlow, Machine Learning, SQL, Node.js. Education: BCA.",6,Machine Learning Engineer,"TensorFlow, Machine Learning, SQL, Node.js",BCA,0
"Machine Learning Engineer with 7 years experience. Skilled in Deep Learning, Data Analysis, SQL, JavaScript, C++. Education: MCA.",7,Machine Learning Engineer,"Deep Learning, Data Analysis, SQL, JavaScript, C++",MCA,1
"Backend Developer with 4 years experience. Skilled in React, Django, SQL, Node.js. Education: B.Sc Computer Science.",4,Backend Developer,"React, Django, SQL, Node.js",B.Sc Computer Science,0
"DevOps Engineer with 1 years experience. Skilled in React, Pandas, PyTorch, Django, Docker, Flask. Education: MCA.",1,DevOps Engineer,"React, Pandas, PyTorch, Django, Docker, Flask",MCA,0
"Web Developer with 5 years experience. Skilled in Git, Python, Docker, Machine Learning, C++. Education: M.Tech.",5,Web Developer,"Git, Python, Docker, Machine Learning, C++",M.Tech,1
"DevOps Engineer with 1 years experience. Skilled in Machine Learning, Data Analysis, JavaScript, SQL. Education: BCA.",1,DevOps Engineer,"Machine Learning, Data Analysis, JavaScript, SQL",BCA,1
"Web Developer with 4 years experience. Skilled in NumPy, Python, Kubernetes, Node.js, CSS, Machine Learning, HTML. Education: MCA.",4,Web Developer,"NumPy, Python, Kubernetes, Node.js, CSS, Machine Learning, HTML",MCA,1
"Machine Learning Engineer with 6 years experience. Skilled in Docker, PyTorch, Flask, C++, Machine Learning, SQL. Education: M.Tech.",6,Machine Learning Engineer,"Docker, PyTorch, Flask, C++, Machine Learning, SQL",M.Tech,0
"Backend Developer with 1 years experience. Skilled in Git, TensorFlow, CSS, JavaScript, C++. Education: B.Sc Computer Science.",1,Backend Developer,"Git, TensorFlow, CSS, JavaScript, C++",B.Sc Computer Science,1
"Data Scientist with 3 years experience. Skilled in Git, AWS, Java, C++, SQL, CSS. Education: MCA.",3,Data Scientist,"Git, AWS, Java, C++, SQL, CSS",MCA,0
"DevOps Engineer with 6 years experience. Skilled in Python, JavaScript, Pandas, Git, PyTorch, Data Analysis, NumPy, C++. Education: BCA.",6,DevOps Engineer,"Python, JavaScript, Pandas, Git, PyTorch, Data Analysis, NumPy, C++",BCA,1
"Frontend Developer with 2 years experience. Skilled in Pandas, Git, AWS, HTML, React, NumPy, Data Analysis. Education: M.Tech.",2,Frontend Developer,"Pandas, Git, AWS, HTML, React, NumPy, Data Analysis",M.Tech,0
"Data Scientist with 5 years experience. Skilled in Deep Learning, Kubernetes, Node.js, Pandas, TensorFlow, Machine Learning, NumPy, Git. Education: B.Tech.",5,Data Scientist,"Deep Learning, Kubernetes, Node.js, Pandas, TensorFlow, Machine Learning, NumPy, Git",B.Tech,0
"Machine Learning Engineer with 7 years experience. Skilled in Java, Kubernetes, Data Analysis, Django, Deep Learning, Flask, SQL. Education: B.Tech.",7,Machine Learning Engineer,"Java, Kubernetes, Data Analysis, Django, Deep Learning, Flask, SQL",B.Tech,0
"Machine Learning Engineer with 6 years experience. Skilled in Machine Learning, JavaScript, Deep Learning, NumPy. Education: B.Sc Computer Science.",6,Machine Learning Engineer,"Machine Learning, JavaScript, Deep Learning, NumPy",B.Sc Computer Science,1
"Frontend Developer with 7 years experience. Skilled in Git, Machine Learning, React, C++, PyTorch, Data Analysis, HTML. Education: BCA.",7,Frontend Developer,"Git, Machine Learning, React, C++, PyTorch, Data Analysis, HTML",BCA,0
"Data Scientist with 4 years experience. Skilled in TensorFlow, NumPy, PyTorch, Git, Machine Learning, Node.js, SQL, React. Education: B.Sc Computer Science.",4,Data Scientist,"TensorFlow, NumPy, PyTorch, Git, Machine Learning, Node.js, SQL, React",B.Sc Computer Science,0
"Machine Learning Engineer with 3 years experience. Skilled in Java, PyTorch, AWS, Flask, CSS, Deep Learning, HTML, C++. Education: B.Sc Computer Science.",3,Machine Learning Engineer,"Java, PyTorch, AWS, Flask, CSS, Deep Learning, HTML, C++",B.Sc Computer Science,0
"Web Developer with 7 years experience. Skilled in C++, Pandas, SQL, Node.js. Education: M.Tech.",7,Web Developer,"C++, Pandas, SQL, Node.js",M.Tech,0
"Web Developer with 0 years experience. Skilled in Deep Learning, Git, HTML, React. Education: BCA.",0,Web Developer,"Deep Learning, Git, HTML, React",BCA,0
"Data Scientist with 0 years experience. Skilled in Node.js, Flask, CSS, Deep Learning, PyTorch, Python, NumPy, AWS. Education: BCA.",0,Data Scientist,"Node.js, Flask, CSS, Deep Learning, PyTorch, Python, NumPy, AWS",BCA,0
"Web Developer with 1 years experience. Skilled in SQL, Data Analysis, Pandas, Flask, PyTorch, HTML, CSS. Education: B.Tech.",1,Web Developer,"SQL, Data Analysis, Pandas, Flask, PyTorch, HTML, CSS",B.Tech,0
"Web Developer with 5 years experience. Skilled in Django, Flask, Python, Docker. Education: B.Tech.",5,Web Developer,"Django, Flask, Python, Docker",B.Tech,1
"Machine Learning Engineer with 5 years experience. Skilled in Flask, Docker, Machine Learning, Django, React, Node.js, CSS, Java. Education: B.Tech.",5,Machine Learning Engineer,"Flask, Docker, Machine Learning, Django, React, Node.js, CSS, Java",B.Tech,0
"Frontend Developer with 7 years experience. Skilled in Flask, CSS, Node.js, Machine Learning, SQL, PyTorch, React. Education: B.Tech.",7,Frontend Developer,"Flask, CSS, Node.js, Machine Learning, SQL, PyTorch, React",B.Tech,0
"DevOps Engineer with 0 years experience. Skilled in React, AWS, Machine Learning, Java. Education: M.Tech.",0,DevOps Engineer,"React, AWS, Machine Learning, Java",M.Tech,0
"Backend Developer with 5 years experience. Skilled in C++, Docker, Kubernetes, JavaScript, HTML. Education: B.Sc Computer Science.",5,Backend Developer,"C++, Docker, Kubernetes, JavaScript, HTML",B.Sc Computer Science,1
"Data Scientist with 5 years experience. Skilled in React, Docker, Machine Learning, AWS. Education: M.Tech.",5,Data Scientist,"React, Docker, Machine Learning, AWS",M.Tech,0
"Web Developer with 1 years experience. Skilled in NumPy, Data Analysis, AWS, Machine Learning, Django, Node.js, Pandas, C++. Education: BCA.",1,Web Developer,"NumPy, Data Analysis, AWS, Machine Learning, Django, Node.js, Pandas, C++",BCA,0
"Frontend Developer with 7 years experience. Skilled in Flask, Java, SQL, Pandas, AWS. Education: M.Tech.",7,Frontend Developer,"Flask, Java, SQL, Pandas, AWS",M.Tech,0
"Machine Learning Engineer with 7 years experience. Skilled in Flask, C++, Machine Learning, Python. Education: MCA.",7,Machine Learning Engineer,"Flask, C++, Machine Learning, Python",MCA,1
"Frontend Developer with 6 years experience. Skilled in JavaScript, Data Analysis, HTML, Django, Python. Education: B.Sc Computer Science.",6,Frontend Developer,"JavaScript, Data Analysis, HTML, Django, Python",B.Sc Computer Science,1
"Machine Learning Engineer with 7 years experience. Skilled in CSS, C++, React, Git. Education: BCA.",7,Machine Learning Engineer,"CSS, C++, React, Git",BCA,0
"DevOps Engineer with 6 years experience. Skilled in AWS, Machine Learning, TensorFlow, PyTorch, Flask. Education: B.Tech.",6,DevOps Engineer,"AWS, Machine Learning, TensorFlow, PyTorch, Flask",B.Tech,0
"Frontend Developer with 3 years experience. Skilled in PyTorch, Git, CSS, Flask, Pandas. Education: M.Tech.",3,Frontend Developer,"PyTorch, Git, CSS, Flask, Pandas",M.Tech,0
"Backend Developer with 6 years experience. Skilled in Git, C++, Java, NumPy, Pandas, SQL, Node.js, Docker. Education: B.Tech.",6,Backend Developer,"Git, C++, Java, NumPy, Pandas, SQL, Node.js, Docker",B.Tech,0
"Machine Learning Engineer with 5 years experience. Skilled in Django, Deep Learning, TensorFlow, SQL, PyTorch, Data Analysis, Machine Learning, Docker. Education: B.Sc Computer Science.",5,Machine Learning Engineer,"Django, Deep Learning, TensorFlow, SQL, PyTorch, Data Analysis, Machine Learning, Docker",B.Sc Computer Science,0
"Data Scientist with 1 years experience. Skilled in PyTorch, Machine Learning, Deep Learning, Pandas, SQL. Education: B.Sc Computer Science.",1,Data Scientist,"PyTorch, Machine Learning, Deep Learning, Pandas, SQL",B.Sc Computer Science,0
"Machine Learning Engineer with 7 years experience. Skilled in React, SQL, Django, NumPy. Education: BCA.",7,Machine Learning Engineer,"React, SQL, Django, NumPy",BCA,0
"Frontend Developer with 1 years experience. Skilled in Deep Learning, SQL, JavaScript, TensorFlow, C++, Kubernetes. Education: MCA.",1,Frontend Developer,"Deep Learning, SQL, JavaScript, TensorFlow, C++, Kubernetes",MCA,1
"DevOps Engineer with 1 years experience. Skilled in TensorFlow, Git, Flask, NumPy, Node.js, Kubernetes. Education: B.Sc Computer Science.",1,DevOps Engineer,"TensorFlow, Git, Flask, NumPy, Node.js, Kubernetes",B.Sc Computer Science,0
"Data Scientist with 2 years experience. Skilled in Django, PyTorch, Python, AWS, TensorFlow, Deep Learning, Data Analysis, Kubernetes. Education: B.Sc Computer Science.",2,Data Scientist,"Django, PyTorch, Python, AWS, TensorFlow, Deep Learning, Data Analysis, Kubernetes",B.Sc Computer Science,1
"DevOps Engineer with 6 years experience. Skilled in Pandas, SQL, React, Git, Python, Kubernetes, JavaScript. Education: MCA.",6,DevOps Engineer,"Pandas, SQL, React, Git, Python, Kubernetes, JavaScript",MCA,1
"Data Scientist with 3 years experience. Skilled in Docker, AWS, CSS, C++, NumPy, TensorFlow, Django, Python. Education: B.Sc Computer Science.",3,Data Scientist,"Docker, AWS, CSS, C++, NumPy, TensorFlow, Django, Python",B.Sc Computer Science,1
"Machine Learning Engineer with 4 years experience. Skilled in PyTorch, TensorFlow, Kubernetes, Pandas, NumPy, Machine Learning, Deep Learning, C++. Education: BCA.",4,Machine Learning Engineer,"PyTorch, TensorFlow, Kubernetes, Pandas, NumPy, Machine Learning, Deep Learning, C++",BCA,0
"Data Scientist with 5 years experience. Skilled in Kubernetes, Flask, CSS, Machine Learning, AWS, Django, C++, Java. Education: BCA.",5,Data Scientist,"Kubernetes, Flask, CSS, Machine Learning, AWS, Django, C++, Java",BCA,0
"Web Developer with 4 years experience. Skilled in Flask, React, Kubernetes, Pandas, AWS, TensorFlow. Education: BCA.",4,Web Developer,"Flask, React, Kubernetes, Pandas, AWS, TensorFlow",BCA,0
"Machine Learning Engineer with 2 years experience. Skilled in Django, Flask, Git, Python, AWS, C++, Data Analysis, Docker. Education: B.Tech.",2,Machine Learning Engineer,"Django, Flask, Git, Python, AWS, C++, Data Analysis, Docker",B.Tech,1
"Backend Developer with 0 years experience. Skilled in PyTorch, React, NumPy, Machine Learning. Education: B.Sc Computer Science.",0,Backend Developer,"PyTorch, React, NumPy, Machine Learning",B.Sc Computer Science,0
